timestamp,roll,pitch,yaw
1582297551617886,2.49211,0.50953,-0.537016
1582297551640828,2.51712,0.598931,-0.410962
1582297551658588,2.58309,0.673956,-0.289867
1582297551678580,2.6236,0.718195,-0.186467
1582297551700713,2.66316,0.751381,-0.0854079
1582297551718440,2.71167,0.768634,0.0263886
1582297551738712,2.76918,0.769308,0.155242
1582297551760748,2.82706,0.757633,0.291042
1582297551777270,2.88792,0.737052,0.425095
1582297551798451,2.94789,0.708106,0.55576
1582297551821196,2.99843,0.669848,0.678476
1582297551837111,3.02827,0.626081,0.785349
1582297551858515,3.04157,0.581469,0.879638
1582297551881467,3.05436,0.545968,0.967886
1582297551897269,3.07467,0.519954,1.056
1582297551918261,3.08196,0.498326,1.13328
1582297551941051,3.0684,0.480513,1.20124
1582297551957082,3.05328,0.465309,1.26768
1582297551978211,3.04444,0.452786,1.34116
1582297552000818,3.03883,0.44586,1.41155
1582297552018838,3.02857,0.436843,1.473
1582297552038804,3.01185,0.418033,1.52786
1582297552061011,2.98762,0.384903,1.57706
1582297552078484,2.95901,0.343954,1.62473
1582297552098636,2.941,0.306247,1.67264
1582297552120482,2.93516,0.273375,1.71954
1582297552138828,2.9293,0.238498,1.76036
1582297552158292,2.90875,0.198253,1.79541
1582297552181238,2.88424,0.157919,1.83205
1582297552198913,2.87124,0.128418,1.87321
1582297552218137,2.86276,0.103913,1.91641
1582297552241371,2.85378,0.0782505,1.95705
1582297552258567,2.84083,0.0531149,1.99228
1582297552278158,2.82326,0.0298644,2.02176
1582297552300877,2.80448,0.00865098,2.04819
1582297552318821,2.78524,-0.00712062,2.07048
1582297552338275,2.77163,-0.0150786,2.08761
1582297552360757,2.76323,-0.0185583,2.10131
1582297552378659,2.75316,-0.0221712,2.10911
1582297552398631,2.74453,-0.0252853,2.10961
1582297552420549,2.73543,-0.0339132,2.10166
1582297552438502,2.72942,-0.0462182,2.0881
1582297552459658,2.73297,-0.061552,2.07084
1582297552480591,2.74543,-0.0816248,2.054
1582297552498507,2.75696,-0.101991,2.03524
1582297552518459,2.76755,-0.119145,2.00967
1582297552540652,2.77837,-0.134865,1.98122
1582297552558322,2.78822,-0.150982,1.95453
1582297552579547,2.79712,-0.167392,1.93037
1582297552601071,2.80305,-0.182242,1.90521
1582297552618561,2.80915,-0.193969,1.87964
1582297552639969,2.81551,-0.206643,1.85562
1582297552661302,2.82438,-0.22441,1.83176
1582297552678876,2.82916,-0.242454,1.8082
1582297552699868,2.83141,-0.257979,1.78437
1582297552720973,2.8361,-0.272671,1.75979
1582297552738699,2.84022,-0.285648,1.7364
1582297552766031,2.84443,-0.296433,1.71416
1582297552780755,2.84964,-0.305461,1.69539
1582297552805527,2.85884,-0.309251,1.68108
1582297552819484,2.86289,-0.310364,1.67035
1582297552840846,2.86897,-0.307874,1.66233
1582297552858581,2.8806,-0.300988,1.65599
1582297552879550,2.89429,-0.29291,1.6482
1582297552900494,2.90943,-0.285282,1.639
1582297552919218,2.92644,-0.278541,1.62878
1582297552940175,2.94416,-0.273563,1.61879
1582297552961303,2.94855,-0.273188,1.60901
1582297552978057,2.94639,-0.271711,1.59794
1582297553000240,2.94863,-0.266797,1.58441
1582297553020942,2.95345,-0.259546,1.5699
1582297553037912,2.96014,-0.248486,1.5571
1582297553059954,2.95857,-0.234541,1.54495
