timestamp,x,y,z,w
1582297621721702,-0.409119,0.793213,0.319519,-0.318237
1582297621742834,-0.409668,0.792786,0.319153,-0.319031
1582297621765624,-0.410095,0.792419,0.318726,-0.319702
1582297621781549,-0.4104,0.792053,0.318604,-0.320435
1582297621802690,-0.410522,0.791748,0.318665,-0.321045
1582297621825636,-0.410583,0.791382,0.318909,-0.321594
1582297621841384,-0.4104,0.791016,0.319458,-0.322144
1582297621862779,-0.410278,0.790833,0.319763,-0.322388
1582297621885477,-0.410278,0.790833,0.319824,-0.322388
1582297621901660,-0.410217,0.790833,0.319946,-0.322388
1582297621923169,-0.410339,0.79071,0.320007,-0.322388
1582297621945438,-0.410522,0.79071,0.320007,-0.322205
1582297621962060,-0.410522,0.79071,0.319946,-0.322205
1582297621983202,-0.411255,0.791016,0.318848,-0.321655
1582297622004956,-0.411987,0.791382,0.317627,-0.321106
1582297622022902,-0.412842,0.791565,0.316467,-0.32074
1582297622042985,-0.413696,0.791687,0.315186,-0.320374
1582297622065830,-0.414551,0.79187,0.313904,-0.320129
1582297622081783,-0.415344,0.79187,0.312927,-0.320068
1582297622102880,-0.416138,0.791931,0.311707,-0.320068
1582297622126018,-0.416626,0.791992,0.31073,-0.320251
1582297622143574,-0.417297,0.791931,0.309937,-0.320374
1582297622163030,-0.418152,0.791748,0.309326,-0.32019
1582297622185513,-0.418518,0.791626,0.309143,-0.320313
1582297622203420,-0.418884,0.791626,0.308655,-0.320313
1582297622222415,-0.419189,0.791687,0.308167,-0.32019
1582297622245508,-0.419434,0.791626,0.307922,-0.320129
1582297622263255,-0.419434,0.791626,0.307922,-0.32019
1582297622282202,-0.419556,0.791626,0.307739,-0.320313
1582297622313168,-0.4198,0.791626,0.307434,-0.32019
1582297622323097,-0.420166,0.791687,0.306885,-0.320068
1582297622343141,-0.420593,0.791748,0.306091,-0.320068
1582297622365184,-0.420837,0.791748,0.305603,-0.320313
1582297622382946,-0.420837,0.791626,0.305298,-0.320862
1582297622405893,-0.420898,0.791565,0.304871,-0.321411
1582297622425010,-0.421265,0.791565,0.304077,-0.321716
1582297622442971,-0.421509,0.791748,0.303162,-0.321777
1582297622462934,-0.421692,0.791809,0.302673,-0.32196
1582297622485802,-0.421875,0.791931,0.302246,-0.321716
1582297622502664,-0.421997,0.791992,0.30188,-0.321777
1582297622530740,-0.421936,0.791626,0.302307,-0.322266
1582297622545496,-0.42218,0.791443,0.302612,-0.322205
1582297622563450,-0.422607,0.791443,0.302429,-0.321777
1582297622582544,-0.423279,0.791443,0.301941,-0.32135
1582297622605397,-0.423706,0.79126,0.301697,-0.321411
1582297622623297,-0.424133,0.790894,0.301758,-0.321838
1582297622642615,-0.424561,0.790405,0.302063,-0.322083
1582297622665521,-0.424805,0.790039,0.30249,-0.322327
1582297622683141,-0.425171,0.789673,0.302795,-0.322388
1582297622703303,-0.425537,0.789368,0.303101,-0.322388
1582297622725474,-0.425659,0.789063,0.303528,-0.322571
1582297622742980,-0.425781,0.788757,0.304077,-0.322571
1582297622764107,-0.425964,0.788513,0.304504,-0.32251
1582297622785368,-0.426025,0.788208,0.305115,-0.322571
1582297622802809,-0.426147,0.787842,0.305786,-0.322693
1582297622824147,-0.42627,0.78772,0.30603,-0.322693
1582297622845706,-0.426636,0.787659,0.30603,-0.322388
1582297622870631,-0.426758,0.787537,0.305969,-0.32251
1582297622884590,-0.426941,0.787354,0.305969,-0.322754
1582297622905534,-0.427368,0.787109,0.305847,-0.322876
1582297622923489,-0.427551,0.786865,0.305908,-0.32312
1582297622944431,-0.427734,0.786682,0.305969,-0.323303
1582297622972416,-0.427856,0.78656,0.30603,-0.323425
1582297622983332,-0.428101,0.786499,0.305969,-0.323303
1582297623004283,-0.428284,0.786438,0.30603,-0.323059
1582297623025654,-0.428284,0.786438,0.30603,-0.323059
1582297623043166,-0.428284,0.786438,0.306091,-0.32312
1582297623064152,-0.428162,0.786316,0.306335,-0.323303
1582297623085108,-0.428101,0.786316,0.306396,-0.323303
1582297623103007,-0.428101,0.786316,0.306396,-0.323303
1582297623125950,-0.42804,0.786377,0.306152,-0.323425
1582297623144901,-0.42804,0.786377,0.306152,-0.323425
1582297623163150,-0.427979,0.786438,0.306091,-0.323425
1582297623185794,-0.427856,0.786499,0.306152,-0.323547
1582297623205733,-0.42804,0.786621,0.305786,-0.323364
1582297623222699,-0.428223,0.786682,0.305359,-0.323181
1582297623244693,-0.428345,0.786865,0.305115,-0.322937
1582297623266060,-0.428345,0.786926,0.304993,-0.322876
1582297623282744,-0.428284,0.786865,0.305359,-0.322815
1582297623304780,-0.428162,0.786804,0.305725,-0.322693
1582297623319427,-0.427979,0.786865,0.30603,-0.322571
1582297623342425,-0.427979,0.786804,0.30603,-0.322571
1582297623365307,-0.42804,0.786804,0.306152,-0.322388
1582297623379332,-0.42804,0.786804,0.306152,-0.322388
1582297623402331,-0.428162,0.786865,0.306152,-0.322144
1582297623425144,-0.428162,0.786743,0.306396,-0.322205
1582297623439109,-0.428162,0.786621,0.306702,-0.322144
1582297623462047,-0.428162,0.786682,0.306641,-0.322083
1582297623485051,-0.428345,0.786743,0.306396,-0.322021
1582297623498952,-0.428589,0.786682,0.306152,-0.322021
1582297623529885,-0.428772,0.786499,0.306213,-0.322205
1582297623545149,-0.428772,0.786255,0.306519,-0.322449
1582297623558878,-0.428894,0.786133,0.306641,-0.32251
1582297623582722,-0.429138,0.786255,0.306396,-0.322083
1582297623604991,-0.429382,0.786255,0.306335,-0.321899
1582297623626110,-0.429382,0.786011,0.306702,-0.322083
1582297623642566,-0.429321,0.785889,0.306946,-0.322266
1582297623664506,-0.429321,0.785889,0.306885,-0.322266
1582297623686454,-0.429382,0.785889,0.306885,-0.322205
1582297623702467,-0.429504,0.78595,0.306763,-0.322021
1582297623724457,-0.429504,0.78595,0.306763,-0.322021
1582297623746446,-0.429504,0.78595,0.306702,-0.322021
1582297623762768,-0.429504,0.78595,0.306702,-0.322021
1582297623785181,-0.429504,0.786011,0.306702,-0.322021
1582297623807124,-0.429504,0.786011,0.306702,-0.32196
1582297623822096,-0.429504,0.786011,0.306702,-0.322021
1582297623845023,-0.429504,0.786011,0.306702,-0.32196
1582297623866207,-0.429382,0.78595,0.306946,-0.321899
1582297623882044,-0.429382,0.78595,0.306946,-0.321899
1582297623904868,-0.429321,0.78595,0.30719,-0.321838
1582297623925996,-0.429199,0.785828,0.307556,-0.32196
1582297623942760,-0.429138,0.785706,0.307861,-0.322083
1582297623964986,-0.429138,0.785706,0.307861,-0.322083
1582297623985846,-0.42926,0.785767,0.307739,-0.321899
1582297624002652,-0.429382,0.785767,0.307617,-0.321777
1582297624024547,-0.429382,0.785828,0.307556,-0.321777
1582297624047723,-0.429382,0.785828,0.307556,-0.321777
1582297624061441,-0.429382,0.785828,0.307556,-0.321777
1582297624085441,-0.429382,0.785828,0.307556,-0.321777
1582297624107369,-0.429565,0.785889,0.307434,-0.321472
1582297624122285,-0.429504,0.785889,0.307373,-0.321533
1582297624145224,-0.429504,0.785889,0.307373,-0.321472
1582297624168162,-0.429565,0.785889,0.307373,-0.321472
1582297624182118,-0.429688,0.786072,0.307007,-0.321167
1582297624205057,-0.42981,0.786194,0.306824,-0.320984
1582297624227006,-0.42981,0.786194,0.306824,-0.320984
1582297624241961,-0.429871,0.786194,0.306641,-0.320923
1582297624265024,-0.429932,0.786316,0.306519,-0.320801
1582297624286849,-0.429993,0.786377,0.306274,-0.32074
1582297624301855,-0.429993,0.786377,0.306274,-0.32074
1582297624324898,-0.429932,0.786316,0.306458,-0.320801
1582297624347705,-0.429932,0.786316,0.306458,-0.320801
1582297624361858,-0.42981,0.786316,0.306702,-0.320801
1582297624384582,-0.42981,0.786316,0.306702,-0.320801
1582297624407517,-0.42981,0.786316,0.306702,-0.32074
1582297624421488,-0.42981,0.786377,0.306641,-0.32074
1582297624444418,-0.42981,0.786255,0.306824,-0.320862
1582297624467415,-0.42981,0.786255,0.306763,-0.320862
1582297624481627,-0.42981,0.786255,0.306763,-0.320801
1582297624504258,-0.42981,0.786255,0.306763,-0.320801
1582297624527202,-0.42981,0.786255,0.306763,-0.320862
1582297624548195,-0.42981,0.786194,0.306885,-0.320801
1582297624565157,-0.42981,0.786194,0.306885,-0.320862
1582297624587038,-0.42981,0.786194,0.306885,-0.320862
1582297624608190,-0.429871,0.786133,0.307068,-0.320801
1582297624624936,-0.429871,0.786072,0.307129,-0.320801
1582297624647065,-0.429932,0.785889,0.307495,-0.320801
1582297624668930,-0.429993,0.7854,0.30835,-0.321167
1582297624684782,-0.429749,0.78418,0.310669,-0.322266
1582297624707716,-0.428284,0.781738,0.315247,-0.325684
1582297624728666,-0.427307,0.780029,0.317932,-0.328491
1582297624744958,-0.427551,0.779663,0.31781,-0.329102
1582297624767613,-0.427917,0.780029,0.316223,-0.329224
1582297624788720,-0.429077,0.781006,0.312927,-0.328491
1582297624804461,-0.430664,0.781799,0.309448,-0.327881
1582297624827393,-0.431458,0.782349,0.307251,-0.327637
1582297624848845,-0.431458,0.783203,0.305054,-0.327637
1582297624864336,-0.431702,0.784424,0.302368,-0.326904
1582297624887244,-0.431641,0.785461,0.300415,-0.326294
1582297624916370,-0.431274,0.786377,0.298645,-0.326233
1582297624925136,-0.43042,0.787354,0.297058,-0.326477
1582297624947074,-0.429688,0.788574,0.294739,-0.326538
1582297624968469,-0.429199,0.789917,0.292114,-0.326355
1582297624985033,-0.428528,0.791199,0.28949,-0.326416
1582297625007015,-0.427246,0.792542,0.287048,-0.326965
1582297625029863,-0.425903,0.794067,0.284485,-0.327332
1582297625044853,-0.424622,0.795532,0.282104,-0.327454
1582297625066943,-0.423401,0.797058,0.279602,-0.327454
1582297625089695,-0.422058,0.798706,0.276978,-0.327393
1582297625103662,-0.420715,0.800171,0.274597,-0.327515
1582297625127597,-0.419312,0.801392,0.273071,-0.327576
1582297625149539,-0.418091,0.802429,0.271851,-0.327759
1582297625170483,-0.417114,0.803345,0.270874,-0.327576
1582297625194413,-0.416077,0.80426,0.270081,-0.327209
1582297625209453,-0.414978,0.805115,0.269592,-0.326965
1582297625224530,-0.414185,0.806091,0.268738,-0.326172
1582297625247327,-0.413452,0.807068,0.267822,-0.325439
