timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1582297430472676,-2,1,2,1,1,-1,1,5
1582297430472676,2,-2,-2,-1,1,-1,-1,0
1582297430474470,0,-1,0,0,0,0,-3,-4
1582297430474470,-6,-2,-1,-2,-1,0,1,-2
1582297430495413,0,-5,0,0,0,0,3,-7
1582297430495413,8,8,1,-2,-1,4,3,3
1582297430496572,-8,-4,0,1,-2,-4,-7,-5
1582297430496572,2,-3,-1,2,0,0,-1,2
1582297430508388,-4,1,-6,-4,-3,-1,1,-3
1582297430508388,-10,-7,-2,2,0,-1,-1,2
1582297430517412,4,-3,-5,-5,-4,-2,-2,-1
1582297430517412,-3,-1,-3,-2,-1,-1,0,-4
1582297430532622,0,1,4,0,0,1,-1,7
1582297430532622,0,2,0,1,2,1,4,2
1582297430534309,-5,0,-2,-1,0,-1,-1,3
1582297430534309,-2,-1,0,0,0,-1,-2,0
1582297430555435,6,2,0,-2,-2,-1,0,-3
1582297430555435,-1,-2,-1,-4,-1,0,0,-1
1582297430556254,-5,-6,-3,-3,-2,0,-2,-7
1582297430556254,0,-2,-1,0,-1,-3,-4,-2
1582297430577368,-2,1,-3,-2,1,0,0,-7
1582297430577368,1,-4,-2,-2,-3,-2,0,-2
1582297430579195,-6,6,3,0,-1,-4,-3,-4
1582297430579195,9,-2,0,-1,-3,4,6,-3
1582297430592168,-5,-3,-2,-1,0,-1,-4,-1
1582297430592168,2,1,2,2,1,3,-1,2
1582297430594150,1,2,-1,-3,0,1,3,-1
1582297430594150,-10,4,1,-2,-1,-3,-2,-6
1582297430615343,-2,-7,0,0,0,-3,1,2
1582297430615343,6,-3,-9,-5,-4,-1,6,0
1582297430617094,4,0,-3,-2,-2,-1,3,6
1582297430617094,-1,4,2,1,0,1,-3,1
1582297430638041,-3,-3,-3,-2,-2,-1,-2,-15
1582297430638041,-1,0,1,-1,0,-3,-4,0
1582297430639033,3,-4,-2,-1,-2,-1,0,5
1582297430639033,-3,-1,-3,-1,-1,-1,0,2
1582297430652992,-2,2,1,3,-2,1,-3,-12
1582297430652992,-5,-4,2,2,0,-1,-3,-3
1582297430654233,5,4,3,4,2,1,-3,-1
1582297430654233,-2,-4,-3,-2,1,-3,-3,2
1582297430674939,-3,-1,-2,-2,-2,-1,1,4
1582297430674939,-2,-2,-3,-1,-2,2,-1,-3
1582297430677025,-7,-3,-5,-3,-2,-1,-4,-8
1582297430677025,0,4,1,-1,-1,-4,0,-2
1582297430698087,7,0,5,1,1,2,2,5
1582297430698087,5,0,-4,-2,-2,-2,-2,0
1582297430698868,-6,-3,0,-1,-1,-3,-2,-3
1582297430698868,-1,-7,-3,-3,-2,-1,-3,-5
1582297430713032,-6,-2,-5,-2,-2,-3,-4,2
1582297430713032,-2,-1,-1,-2,-3,-1,0,1
1582297430713831,4,1,0,1,1,1,5,1
1582297430713831,-4,0,-1,0,-2,-1,-4,1
1582297430734829,-8,-5,-2,1,1,0,-5,-9
1582297430734829,-3,-3,-3,-2,0,-1,1,0
1582297430736836,-3,0,-1,-3,-2,1,1,-5
1582297430736836,4,2,3,0,0,0,2,4
1582297430757917,12,1,-1,-3,-3,-1,0,5
