timestamp,x,y,z
1582293997603568,-1.875,0,-1.125
1582293997621390,-0.375,-0.6875,-0.75
1582293997641420,0.8125,-0.875,-0.125
1582293997664292,1.1875,-0.6875,0.5625
1582293997682108,1.3125,-0.6875,0.8125
1582293997701108,1.0625,-0.3125,0.625
1582293997724212,0.625,0.125,0.1875
1582293997742081,0.0625,0.4375,-0.25
1582293997761057,-0.9375,0.4375,-0.4375
1582293997784026,-2.5,0.3125,-0.8125
1582293997801800,-2.9375,0.3125,-1.0625
1582293997821793,-2.4375,0.4375,-0.875
1582293997843732,-1.3125,0.625,-0.8125
1582293997861696,-0.6875,0.6875,-0.4375
1582293997881769,-0.4375,0.25,-0.0625
1582293997903706,0.0625,-0.0625,-0.0625
1582293997921467,0.5,-0.125,0.125
1582293997941641,0.6875,-0.25,0.1875
1582293997963777,0.25,-0.5,0
1582293997981852,-0.3125,-0.375,-0.25
1582293998001588,-1,-0.3125,-0.8125
1582293998025234,-1.125,-0.375,-0.75
1582293998042140,-0.9375,0.125,-0.625
1582293998061136,-0.4375,0.5625,-0.3125
1582293998084030,0,0.5,0.1875
1582293998102069,0.875,0.1875,0.875
1582293998121420,1.9375,-0.0625,1.125
1582293998143876,2.625,-0.4375,1.25
1582293998161818,2.25,-0.6875,1
1582293998182823,1.3125,-0.9375,0.5
1582293998204135,0.3125,-1.5,-0.1875
1582293998221660,-0.25,-1.375,-0.8125
1582293998249061,-0.875,-0.75,-1.1875
1582293998259558,-1.3125,-0.125,-1.375
1582293998281774,-1.1875,0.1875,-1
1582293998302442,-0.75,0.25,-0.5625
1582293998319398,0.125,-0.25,0.125
1582293998341345,1.25,-0.5625,0.4375
